Suburb/Town Name,Postcode,Local Government Area,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,%_crime_change,crime_quartile,%_property_incr
West Melbourne,3003,Melbourne,11.0,33.0,56.0,54.0,67.0,71.0,66.0,88.0,89.0,110.0,891.89,4.0,28.84
Rockbank,3335,Melton,2.0,4.0,14.0,8.0,9.0,11.0,6.0,34.0,13.0,20.0,857.14,4.0,94.98
Ballan,3342,Moorabool,2.0,22.0,94.0,54.0,17.0,31.0,20.0,28.0,27.0,20.0,857.14,4.0,87.78
Tatura,3616,Greater Shepparton,12.0,16.0,43.0,84.0,34.0,36.0,71.0,61.0,38.0,114.0,842.98,4.0,67.39
Alexandra,3714,Murrindindi,4.0,16.0,17.0,4.0,11.0,22.0,24.0,18.0,48.0,38.0,829.27,4.0,108.81
Warranwood,3134,Maroondah,1.0,10.0,4.0,6.0,12.0,6.0,14.0,6.0,25.0,10.0,818.18,4.0,119.4
North Geelong,3215,Greater Geelong,11.0,23.0,22.0,72.0,55.0,36.0,41.0,94.0,84.0,101.0,810.81,4.0,130.51
San Remo,3925,Bass Coast,2.0,13.0,2.0,11.0,12.0,19.0,5.0,6.0,11.0,19.0,809.52,4.0,121.34
Cohuna,3568,Gannawarra,3.0,18.0,20.0,18.0,19.0,22.0,47.0,56.0,54.0,28.0,806.45,4.0,97.84
Mount Evelyn,3796,Yarra Ranges,11.0,20.0,22.0,75.0,65.0,100.0,65.0,51.0,97.0,98.0,783.78,4.0,96.18
Beaufort,3373,Pyrenees,3.0,3.0,5.0,54.0,26.0,17.0,70.0,22.0,33.0,27.0,774.19,4.0,104.3
Patterson Lakes,3197,Kingston,13.0,32.0,82.0,47.0,59.0,46.0,68.0,92.0,90.0,113.0,763.36,4.0,99.61
Belgrave,3160,Yarra Ranges,11.0,23.0,37.0,49.0,61.0,67.0,31.0,14.0,10.0,95.0,756.76,4.0,122.68
Mount Duneed,3217,Greater Geelong,3.0,3.0,3.0,12.0,10.0,5.0,22.0,34.0,24.0,26.0,741.94,4.0,169.23
Hughesdale,3166,Monash,11.0,22.0,23.0,78.0,49.0,33.0,57.0,50.0,71.0,93.0,738.74,4.0,98.17
Kyabram,3620,Campaspe,19.0,82.0,114.0,117.0,167.0,113.0,199.0,171.0,177.0,160.0,738.22,4.0,66.67
