Year,Local Government Area,Postcode,Suburb/Town Name,Offence Division,Offence Subdivision,Offence Count,Median
2013,Hobsons Bay,3018,Altona,E Justice procedures offences,E10 Justice procedures,12,575000.0
2013,Hobsons Bay,3018,Altona,E Justice procedures offences,E20 Breaches of orders,21,575000.0
2014,Hobsons Bay,3018,Altona,E Justice procedures offences,E10 Justice procedures,12,646500.0
2014,Hobsons Bay,3018,Altona,E Justice procedures offences,E20 Breaches of orders,28,646500.0
2015,Hobsons Bay,3018,Altona,E Justice procedures offences,E10 Justice procedures,13,718000.0
2015,Hobsons Bay,3018,Altona,E Justice procedures offences,E20 Breaches of orders,62,718000.0
2016,Hobsons Bay,3018,Altona,E Justice procedures offences,E10 Justice procedures,20,829000.0
2016,Hobsons Bay,3018,Altona,E Justice procedures offences,E20 Breaches of orders,83,829000.0
2017,Hobsons Bay,3018,Altona,E Justice procedures offences,E10 Justice procedures,7,950000.0
2017,Hobsons Bay,3018,Altona,E Justice procedures offences,E20 Breaches of orders,77,950000.0
2018,Hobsons Bay,3018,Altona,E Justice procedures offences,E10 Justice procedures,20,932500.0
2018,Hobsons Bay,3018,Altona,E Justice procedures offences,E20 Breaches of orders,146,932500.0
2019,Hobsons Bay,3018,Altona,E Justice procedures offences,E10 Justice procedures,25,890000.0
2019,Hobsons Bay,3018,Altona,E Justice procedures offences,E20 Breaches of orders,56,890000.0
2020,Hobsons Bay,3018,Altona,E Justice procedures offences,E10 Justice procedures,12,917000.0
2020,Hobsons Bay,3018,Altona,E Justice procedures offences,E20 Breaches of orders,59,917000.0
2021,Hobsons Bay,3018,Altona,E Justice procedures offences,E10 Justice procedures,46,1160000.0
2021,Hobsons Bay,3018,Altona,E Justice procedures offences,E20 Breaches of orders,57,1160000.0
2022,Hobsons Bay,3018,Altona,E Justice procedures offences,E10 Justice procedures,23,1018000.0
2022,Hobsons Bay,3018,Altona,E Justice procedures offences,E20 Breaches of orders,57,1018000.0
2013,Hobsons Bay,3028,Altona Meadows,E Justice procedures offences,E10 Justice procedures,15,390000.0
2013,Hobsons Bay,3028,Altona Meadows,E Justice procedures offences,E20 Breaches of orders,50,390000.0
2014,Hobsons Bay,3028,Altona Meadows,E Justice procedures offences,E10 Justice procedures,13,413000.0
2014,Hobsons Bay,3028,Altona Meadows,E Justice procedures offences,E20 Breaches of orders,93,413000.0
2015,Hobsons Bay,3028,Altona Meadows,E Justice procedures offences,E10 Justice procedures,23,440000.0
2015,Hobsons Bay,3028,Altona Meadows,E Justice procedures offences,E20 Breaches of orders,117,440000.0
2016,Hobsons Bay,3028,Altona Meadows,E Justice procedures offences,E10 Justice procedures,26,495000.0
2016,Hobsons Bay,3028,Altona Meadows,E Justice procedures offences,E20 Breaches of orders,126,495000.0
2017,Hobsons Bay,3028,Altona Meadows,E Justice procedures offences,E10 Justice procedures,13,625000.0
2017,Hobsons Bay,3028,Altona Meadows,E Justice procedures offences,E20 Breaches of orders,90,625000.0
2018,Hobsons Bay,3028,Altona Meadows,E Justice procedures offences,E10 Justice procedures,33,631500.0
2018,Hobsons Bay,3028,Altona Meadows,E Justice procedures offences,E20 Breaches of orders,90,631500.0
2019,Hobsons Bay,3028,Altona Meadows,E Justice procedures offences,E10 Justice procedures,13,617500.0
2019,Hobsons Bay,3028,Altona Meadows,E Justice procedures offences,E20 Breaches of orders,130,617500.0
2020,Hobsons Bay,3028,Altona Meadows,E Justice procedures offences,E10 Justice procedures,9,640000.0
2020,Hobsons Bay,3028,Altona Meadows,E Justice procedures offences,E20 Breaches of orders,104,640000.0
2021,Hobsons Bay,3028,Altona Meadows,E Justice procedures offences,E10 Justice procedures,19,720000.0
2021,Hobsons Bay,3028,Altona Meadows,E Justice procedures offences,E20 Breaches of orders,179,720000.0
2022,Hobsons Bay,3028,Altona Meadows,E Justice procedures offences,E10 Justice procedures,15,750000.0
2022,Hobsons Bay,3028,Altona Meadows,E Justice procedures offences,E20 Breaches of orders,112,750000.0
2013,Hobsons Bay,3025,Altona North,E Justice procedures offences,E10 Justice procedures,22,510000.0
2013,Hobsons Bay,3025,Altona North,E Justice procedures offences,E20 Breaches of orders,59,510000.0
2014,Hobsons Bay,3025,Altona North,E Justice procedures offences,E10 Justice procedures,19,555000.0
2014,Hobsons Bay,3025,Altona North,E Justice procedures offences,E20 Breaches of orders,111,555000.0
2015,Hobsons Bay,3025,Altona North,E Justice procedures offences,E10 Justice procedures,23,645000.0
2015,Hobsons Bay,3025,Altona North,E Justice procedures offences,E20 Breaches of orders,172,645000.0
2016,Hobsons Bay,3025,Altona North,E Justice procedures offences,E10 Justice procedures,24,726000.0
2016,Hobsons Bay,3025,Altona North,E Justice procedures offences,E20 Breaches of orders,133,726000.0
